{'hour': '05', 'app': '0.77', 'cin': '13', 'month': '04', 'second': '30', 'in': '20', 'date': '29', 'minute': '44', 'out': '7'}
{'hour': '06', 'app': '0.91', 'cin': '11', 'month': '04', 'second': '52', 'in': '28', 'date': '29', 'minute': '01', 'out': '17'}
{'hour': '06', 'app': '0.24', 'cin': '42', 'month': '04', 'second': '00', 'in': '68', 'date': '29', 'minute': '02', 'out': '26'}
{'hour': '06', 'app': '0.20', 'cin': '50', 'month': '04', 'second': '14', 'in': '79', 'date': '29', 'minute': '09', 'out': '29'}
{'hour': '06', 'app': '0.21', 'cin': '48', 'month': '04', 'second': '26', 'in': '92', 'date': '29', 'minute': '09', 'out': '44'}
{'hour': '06', 'app': '0.19', 'cin': '53', 'month': '04', 'second': '24', 'in': '99', 'date': '29', 'minute': '12', 'out': '46'}
{'hour': '06', 'app': '0.18', 'cin': '55', 'month': '04', 'second': '33', 'in': '102', 'date': '29', 'minute': '12', 'out': '47'}
{'hour': '06', 'app': '0.19', 'cin': '54', 'month': '04', 'second': '40', 'in': '106', 'date': '29', 'minute': '12', 'out': '52'}
{'hour': '06', 'app': '0.19', 'cin': '53', 'month': '04', 'second': '48', 'in': '109', 'date': '29', 'minute': '12', 'out': '56'}
{'hour': '06', 'app': '0.18', 'cin': '56', 'month': '04', 'second': '58', 'in': '118', 'date': '29', 'minute': '12', 'out': '62'}
{'hour': '06', 'app': '0.16', 'cin': '63', 'month': '04', 'second': '02', 'in': '131', 'date': '29', 'minute': '35', 'out': '68'}
{'hour': '06', 'app': '0.15', 'cin': '65', 'month': '04', 'second': '19', 'in': '139', 'date': '29', 'minute': '35', 'out': '74'}
{'hour': '06', 'app': '0.17', 'cin': '58', 'month': '04', 'second': '27', 'in': '147', 'date': '29', 'minute': '35', 'out': '89'}
{'hour': '07', 'app': '0.15', 'cin': '67', 'month': '04', 'second': '27', 'in': '164', 'date': '29', 'minute': '19', 'out': '97'}
{'hour': '07', 'app': '0.14', 'cin': '74', 'month': '04', 'second': '34', 'in': '179', 'date': '29', 'minute': '19', 'out': '105'}
{'hour': '12', 'app': '0.12', 'cin': '81', 'month': '04', 'second': '35', 'in': '189', 'date': '29', 'minute': '36', 'out': '108'}
{'hour': '12', 'app': '0.12', 'cin': '82', 'month': '04', 'second': '11', 'in': '193', 'date': '29', 'minute': '37', 'out': '111'}
{'hour': '12', 'app': '0.13', 'cin': '79', 'month': '04', 'second': '19', 'in': '197', 'date': '29', 'minute': '37', 'out': '118'}
